symbol,动量因子,支撑因子,最长K线天数,name,当前价格,涨跌幅,动量评分,支撑评分,综合评分
SOMIUSDT,6.762931034482761,,,SOMI/USDT,0.9705,0.20650490449147796,1.0,,1.0
BTCUSDT,-0.1265753822685457,895.6999999999971,50.0,BTC/USDT,114079.9,0.11795112575747613,0.6666666666666666,1.0,0.8333333333333333
ETHUSDT,-0.273954864964847,10.11999999999989,56.0,ETH/USDT,4375.71,0.603291895334368,0.3333333333333333,0.5,0.41666666666666663
